,video_id,comments
0,JblNzdZ_7pw,"['संदीप सर आप रियल हीरो के क्यों नहीं बुला रहे है जिसे देश नहीं जानता परंतु उनका देश  के  सेवा बहुत करते है वैसे वैसे हीरो खोजिए जो इस देश का युवा उसी हीरो की तरह बनना चाहते है चाहें कोई भी क्षेत्र हों \n\n1  वैज्ञानिक  हीरो \n2   startup hero \n3 महान चित्रकार hero \n4 साहित्यकार हीरो \n5 महिला हीरो\n6 डिफेंस हीरो \n7 डॉक्टर हीरो , नर्स हीरो , \n8 देश सेवक ngo hero आदि सभी क्षेत्र के हीरो बुलाई चाहें सरकारी हों प्राइवेट हीरो , ताकि युवा पीढ़ी अपने हीरो को पहचान सकें\nफिल्मी hero हिरोइन को ज्यादा मत बुलायेगा', 'Sir please Prashant kirad sir ko invite kar le plesee', 'Hi sir I nead your help pls reply I am really depressed', 'I request Sandeep sir k aap jinhe b apne platform me bolaen,  uski wajah se kahi par bhi scam na ho, kyun k itne sare youtubers and founders aarahe hain, jo sirf paisa kamana chahte hain, aur na chahte hue bhi apke platform se unki branding horahi hai, aur apki b galti nahi hai isme, lekin kuch log apki achhi image ki wajah se inka shikar hojaenge, wo kio b hosakta hai youtuber aur founder, SCALER bahut charge karta hai course karane phir b job ki gaurntee nahi derahe, mai apke platform par ane ki wajah se join karne ka maan banaliya tha, lekin jab counselor se baat hui toh pata chala, aise bahut sare job dilane ka khwab dikha kar huge fees charge karte Hain aur job b nahi dilate, itna lamba comment likhne ka reason hai k ye bahut ghambir masla hai, indirect promotion horahi hai, aur apki image ki wajah se inka irada aam logon ko pata nahi chalta, sab aap jaise achhe log nahi hain Sandeep sir in real life me😊😊', 'Kaise apne desh me bharata har aur crime kam ho sir iska koi solution nikalo', 'Kon kon dekhna chahta  bollywood singer ko show par.arijit sing,Sonu Nigam,shaan,sanu udit, legendary singers ko', 'Invite to ratan tata sir ❤🙏', 'Who wants more videos on AI by Sandeep maheswari sir ❤❤?', 'सफलता\xa0का मुख्य आधार !\n\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0सकारात्मक सोच\xa0और निरंतर प्रयास है !!', 'Bhaiya please invite RATAN TATA sir', ""Hlo Sandeep sir I am your big fan .\nI have an idea for Ai future shops but I am from non tec background but I want to share my idea with big tec company's or shopping sites like Amazon and many more big platform .\nI have an idea for Ai shop which work like online shopping system but that are physically present in every cities like normal shops\nIf u can share this idea to any big sites of tec who can solve this problem it's big pleasure from me ...\nI think this channel is best place to open my mind set idea.."", 'https://www.youtube.com/@shivanichoudhary07', 'https://instagram.com/none_x_pawan_?utm_source=qr&igshid=MzNlNGNkZWQ4Mg%3D%3D', 'Plz plz plz plz sir invite emiway Bantai .', 'Sir mai dahej ke baare me aapka next video dekhna caahti hu kuki mere man mn me is topic ko lrkr bahut saare sawl h or mujhe acche se pta hay ki inke jawab aap hi de skte h ,ispr koi video aaya bhi nhi h aapka to mai is topic pr baat krna caahti hu please sir ,yeh personally bahut important topic h mere liye sir so pls🙏❤️', 'I think this is like boring session', 'Sir mai bhi Uttar Pradesh k akbarpur se hu same same', '𝙆𝙤𝙣 𝙆𝙤𝙣 𝘾𝙝𝙖𝙝𝙩𝙖 𝙃𝙖 𝙃𝙖𝙞 𝙆𝙞 𝘼𝙨𝙝𝙣𝙚𝙚𝙧 𝙂𝙧𝙤𝙫𝙚𝙧 𝙔𝙖𝙝𝙖𝙣 𝙋𝙚𝙧 𝘼𝙖𝙮𝙚𝙣']"
1,YnSOzCKs7Pw,"['Yr tum sb hwa me bate krre ho, parents sb support krte hai already..\nUlta direction dikhate hai jb kuch nhi dikhta krne ko..\nYe sb filmy baten hai parents ke upar thopne ke liye..', 'After leaving no stone unturned for UPSC CSE preparation, if you are unable to crack CSE after 2/3 attempts, please think for other way, or try to get other Govt or Pvt. jobs by any hook and crook, otherwise further putting allout efforts for preparation for CSE  may be in vain...', 'Sandeep sir,\nI have no words for you. \nYou such a god gifted for us?🙂🙂', 'Aap bhagvan ho', 'ELVISH YADAV', ""But when I listen to spiritual leaders like BK Shivani.... She says don't see the reality, Think what you want not what is reality...\n\nSankalp se Srishti.... She talks about"", 'Excellent sir you have clearly explained the exploitation of educational industries', ""*Video Summary*\nAt one extreme, there are parents who impose their dreams, goals, and will on their children. At the other extreme, we have parents who allow their children complete freedom of choice. The second group of parents is growing rapidly in today's world. Many modern parents are so busy with their own lives that they have no time to spend with their children.\r\n\r\nOut of guilt, such parents often try to compensate for their absence by giving their children expensive gifts, a large allowance, and complete freedom of choice. In order to express their love for their children, they frequently support their children’s decisions without getting involved in the decision-making process. As a result, such children are unable to develop critical thinking skills, identify cognitive biases, and make truly informed decisions.\r\n\r\nA balanced approach to parenting would involve giving children enough freedom to make their own choices while asking them questions that encourage self-assessment, critical thinking, and holistic evaluation of their decisions."", 'Sandeep maheshwari is great motivator 👍🏻👍🏻', ""Exactly my point. Freedom to children is the cover over lazy parenting. (Even parents don't realise they are lazy) We tried to reason out our daughter's choice of career, help her meet those who were already in the field,maker her ask the question to them, and help her feel confident about it. Sometimes we doubted if it was interference, but, she is very happy that we help her decide her stream."", 'Please aapki advice chahiye.. Na chahte hue bhi hum bacho ko daant dete hai.. Ki aap padh nahi rahe.. Parents guilt feel karte, unko dant kar... Please guide kare.. \nIndia mein bahut competition hai.. Bache kaise survive karenge... India mein jobs nahi..  Middle class ke liye half salary tax mein aur half salary saving... Agar bache na padhe toh woh kaise survive karenge', ""The series he is talking about is 'Half CA'."", 'Sir \nMai poori tarah sahmat hu.   Mere sath yahi hua hai. Good parenting hi mili hai mujhe. Meri marzi nhi ki maine . Achha hua', 'Thank you sir \n❤\nQuestioning is the beginning of success ♥️ \nNow i understand the real meaning of these sentence ❤', 'Nice to hear from you and got to learn more about good parenting. Thanks fm bottom of my heart. “Balance in life is very essential to take right decisions “', 'Sir fir kaise baccho ko guidence kare career choose karne mai ..sir please bataiye', 'Sir mere bachhe to etna que krte hai ki mai preshan ho jati hu aur bahut sare que ka ans bhi nhi pta hota hai aur kai bar to ek que 50 bar puchhte hai..mai sach me nhi samjh pati..Kya ans du wo mere har ans se nya que nikal lete hai..He is only 10 yr old..', 'Greet sir... 👍']"
2,mKXdArLUDL0,"['What mindset that boy having who told that vani ki nirlajta 🤷  puri mahabharat ek line k wajah se nai huyi thi', 'Devi vagishwri 🤍🤍ami ganatra 🤍🤍🔥', ""I'm 100 percent agree with Sandeep sir❤"", 'Which Bhagwad gita should be referred... गीता प्रेस or ISKCON....?', 'द्रोपदी तो एक जरिया थी जिसे चिंगारी का काम किया ।\nसब खेल तो अहंकार और शासन करने का था।', 'आज के समय में आचार्य प्रशांत से बेहतर कोई नहीं समझा पा रहा है पर आज संदीप सर ने कोशिश करी। पर सर आपने इतने जिंदगी में भगाने वाले लोगों को आमंत्रित किया है आप आचार्य प्रशांत को क्यों नहीं करते, आप कहते हो मैं सच बोलता हूं , ऐसा हो ही सकता कि आपने एक भी बार आचार्य प्रशांत को नहीं सुना होगा। तो हम क्या आपको भी उन भगाने वाले सो काल्ड मोटिवेशनल स्पीकर जैसे माने।', 'East or west Sandeep sir is the best', 'Ami....nice to see you after a long time dear', 'Sir aap ne jo kaha right hai…dil ❤chu gya mahabharat bhi yahi sikhata hai ki hamara ek niday pooree samajha ko badal sakta hai karm hi pradhan hota hai…karm hi pooja hai…Radhey Radhey🙏🙏🙏', ""Really it's natural bat laga sandip sir you are great"", 'Crown + ego = war', 'Karma ke consept Sandeep sir ko sahi se pata hai Amiga natra ji abhi bachchi hai is mamle me', 'Consciousness has been discussed here in this video. Thank you, Sandeep Sir and Ami Madam for discussing Karma!', 'सर सागर सिन्हा सर को अपने शो पर बुलाइये🙏', 'https://youtu.be/WvHlrqiaMOU\n\n☝🏻First Contract Marriage in Mahabharat ☝🏻']"
3,wCac1kyhdqg,"['Sahi education accha toh tha pr sirf \nBramhan ke liye tha baki varn ke logo ko shiksha adhikaar tha hi nhi', 'इतना बेहतरीन सेशन वंडरफुल 🙏', 'Gori chemedi wale hemara udhar kar ne aaye the 🤣🤣', 'सर सागर सिन्हा सर को अपने शो पर बुलाइये🙏', 'আমি গৌর দাস আমি ওয়েস্ট বেঙ্গল থাকি ❤\nআমার একটা কথা রাখবেন গুরুদেব আপনার ভিডিও খুব অল্প সময়ের মধ্যেই শেষ হয়ে যায় ।\nআপনি ভিডিও বেশি সময় ধরে বানাবেন\nধন্যবাদ আপনাকে\n🎉🎉🎉🎉🎉🎉\n❤❤❤❤❤❤', 'We r not agree with this real history', 'He is biased and he is from RSS..', 'bakwas kr raha ye barhwaaa.', 'because of Mughals', 'इन् बच्चों को यह नही पता कि कर्ण को शिक्षा देने से मना नही किया उसको ब्रम्हस्त्र कि शिक्षा देने से मना किया क्योंकि कर्ण उस शिक्षा के पाने का अधिकारी नहीं था कर्ण अपनी खुद कि घृणा के चलते उस अस्त्र का ग़लत इस्तेमाल कर सकता था', 'Kya sir. Aap aisa bolege vishwas nhi ho rha h. Purane tymes me guru dakshina ek baar dii jaati thi but raja ke dwara hi gurus ko fund kiya jaata tha. Like dronacharya, valmiki ji etc. \nUtube pe ulte seedhe videos bana ke pasie kamao wo thik h, kisi ko maarne ke liye pasie lo thik h, but kisi ko padhane ke liye paise lo to glt ho gya. Koi sense h isme. Iss position pe aisi baat krne se bachiye sir.\nAlthough I have huge respects for u.\nPranam🙏🙏', 'संदीप माहेश्वरी जी राजीव भाई दीक्षित जी पर भी बात करें।', 'संदीप माहेश्वरी जी राजीव भाई दीक्षित जी पर भी बात करें।']"
4,7tlJRhEu8Bc,"['Thoda hindi bhi bolo bhai mere ko samjh hi nahi pa raha etna english bol rahe ho', 'Sir me apki video me subtitle lga skta hu please give me a chance', 'Do anyone has the link of the given course, prompt engineering?', 'How nd where to do this course...??? Or where to use this bot...???', 'it is excellent and very informative.', 'Is A.I curious??', 'We should take this chatgpt course', 'Le me : taking Btech (AIML)😂', 'Demand of civil engineers/ mechanical engineers will also decrease because of 3-D printing technology. In india there is a\nwhich has recently built a 3-d printed house inaugurated by finance minister of India.', 'Cours Name plz', 'Lord puneet ko invite kro', 'Is there any Home works app for women in AI tools', 'Wow ..last lines makes things clear!:', 'Sir tuhadia video nu Bharti lok dekhde ne,, Please Jo..v tuhade kol guest aonde ne  \nOhna nu kho k oh Hindi bhasha di jayada vrto Karan. \nKeonke sare bhartia nu English language jayada nhi aondi.', 'Give Me Prompt Engineering Course Link Please   🥺🥺🙏🙏', 'where can i find this course', 'It was a mind blowing discussion 💗 Thanks sir.  There is something going to be.... \n..Love from Bangladesh🇧🇩', ""Can anyone please tell or Sandeep Sir if you are reading this comment can you please tell the name of course which Divij mentioned in the video I knew it's Andrew NG's course but can anyone specify which one"", 'तुम्हे अर्जुन बनना पड़ेगा तभी दुनिया को कुछ बड़ा दे सकोगे  सवाल करो.']"
5,T07GjYNkxrk,"['Logan Paul abhi WWE Superstar Hai😍', 'सर, सागर सिन्हा सर को अपने शो पर बुलाइये🙏', 'Lord puneet superstar', 'Lord puneet ko invite kro', 'Hello sir kya aap bta skte Hain  ek maalik apne 5 store ko maneger ke bharose kaise chhodh dete Hain , maneger to glt accounting kar skta Hain na to , kaise wo maneger ghotala nai kar pata', 'Sandeep sir mujhe aapse baat karni hai please can u talk to me', '13:50 lord puneet superstar ❤', '🎉🎉🎉🎉🎉', 'Need more episode like this', 'LORD Puneet', 'Me ek adibasi ladki hu,\nMe west Bengal ki alipurduar district ki rehne wali hu,\nMera v ek YouTube Channel hai,\nSathme me job karti hu plus mera chhotasa business v hai,\nMe ish life me ek bar Sandeep sir se milna chahti hu.\nMujhe hindi Bengali adibasi (sadri) little English language aati hai.', 'Her hindustani manta hai sir', 'Business lession__૧૫:૧૦', 'most valuable guest so far for me. i think you also enjoying his business idea', 'Puneet Superstar Related Talk in 14:15', 'Mai manti hu ki sandeep sir is the best motivational person in the world', ""I really wanted to share with you something like he said that he became more knowledgable I too started to share extra knowledge with people and my mother doesn't likes that. I have adapted this from you."", 'Elvish yadav ko bulao sir']"
6,CgzfSpnWaFk,"['सर मेरा एक छोटा सा सवाल आप एक सरकार के सलाहकार हैं क्या आपको नहीं लगता है की गोविडं के बाद महंगाई बड़ा जो हमारे जैसे लो मिडिल क्लास कैसे जीवन यापन कर पाएंगे रोजमर्रा की कैसे खरीद पाएंगे आप शहर का विकास देख रहे ग्रामीण अंचल में तू बहुत ही😢😢', 'itna age nikal gaya hai economy ki har saal na jane kitne farmers suicide kar rahe hai 😡😡', 'BJP ka Dalaal  .', 'Then differentciat development between #Delhi and #Gujurat😅', 'Modi hai to mumkin hai 🙏🚩\nNamo namo 🙏🚩', 'জয় লক্ষ্মী ভান্ডার এর জয়\nমা মাটি মানুষের জয়\nমমতা ব্যানার্জি জয়', ""Sir, why are you doing such a kind of conversation with a person who is a political bias ?\n\nSir, please don't do this"", 'Sir reduce education tax rate for better future', 'This type of knowledge are very good', 'Modi ji 🙏🙏🙏', 'Sar main aapko yah bolna chahta hun kya aapane kha garibon mein kharch karna chahie magar minimum aur target kar ke  lekin ismein bhi problem h vah bhi bahut badi problem sir suniye vah kaise minimum Jo target karke garibon pe kharch kar rahe hain to kya wo garibon ko pahunch raha hai Sabse pahla basically bahut hi kam aadami ko pahunch raha hoga kyunki iska fayda Garib ke alava bahut ko utha raha this is a real problem etc.,.', 'Sandeep sir aap se umid nhi thi, finally government ki promotion yaha v', 'Great conversation,,, ab lagta hai achche din aa rhe hai..', 'Bjp andhbhakt in your podcast 😂😂', 'Rajneet se prerit vislesad', 'Sir please call PM Modi in your show for a period of 1 hour......  Please try.... The show will be great', '5 August 2023 👍👍👍']"
7,HXaPSe7nspc,"['Maths king Ashish arora sir ko bulaiye', 'सर, सागर सिन्हा सर को अपने शो पर बुलाइये🙏', 'I am 56 I also like to open school that students get  to do something what they have inner courage if I get support from like sandeep,mittle, etc.', 'Very true', 'Chutiya bana raha hai 45/50 lakh kon dega chal hat', '❤ love you sir ❤ ( Sandeep sir )', ""I think he's the owner of one the renowned University in India lovely professional University"", 'Sir best conversation hai yeh', 'To be unbiased, Sandeep Maheshwari asked geniune questions. He has is way quick wit than i had been considering him.', 'Jiske paas dimag hai vo ye sab free mai bhi sikh sakta hai 🤦🥴🙃😅', '5 August 2023 👍👍👍', 'I am student just graduated from BA economics ,now everywhere people talk about tech an all, and do this course that course .i am so confused what to do ..please help sir', 'I am proud of every teacher of India and I am also a teacher, I also teach in school, I pay more attention to practical than writing👍', '👏👏👏👏👏👏👏', 'So how to think about them', 'Sir accident unknown person ya dog ka hi hoga na', '.', 'Thank you sir... 🙏🙏🙏🙏🙏']"
8,aaWr-N34Z2Q,"['Very nice session ❤', 'The sid warrior Collab with Sandeep sir', 'This has to be the best pov I have heard❤', 'Nice sir  ❤', 'Teen age se nikle mujhe lagbhg 3 saal ho gaya par abhi bhi mujhe mummy se bichadne ke soch se hi bahut dar lag rha hai mere emotion mere control mein nhi rh rha hai mai kya karun koi mera help kar dijiye naa please🙏 please', 'Please make a video with bk Shivani di', ""Can somebody tell me please how can l refill my info in the G form of sandeep sir's session...if l have filled wrong info🥲???"", 'किसीको मजा आया तभी तो आप यहा पर बैठे हो 😂😂😂', 'Isme mujhe kuch nhi samjha plz mujhe samjao in Hindi', 'Mashaallh. Nice smile sandeep sir Mera Allah slamt rakhy apko Ameen.', 'English sentance  Kam use karo😂', 'Best video in my life❤', 'Sach me bhot kuch sikha hai... thank u sandeep sir ,thank u doctor...❤❤❤❤', 'Lov ur videos sir well said 👏', 'The more you put the rare you become', 'Thanks ❤,  be xyz to be unique and the future...', 'Sid is always ❤️❤️', 'Best session ever 🥺🥺 want part 2 with this man 🥺🥺', 'This Doctor gives us an idea that how to think and how to think big and aquire it ✨', 'This Doctor gives us an idea that how to think and how to think big and aquire it ✨']"
9,dDwOOjCtOMk,"['How to become Youtuber', 'sir you make video with facttechz tell about them please sir 🙏💯', 'सर, सागर सिन्हा सर को अपने शो पर बुलाइये🙏', '4 August 2023 👍👍👍', 'Sandeep Maheshwari best try to maintain every episode with a truth and clarity', 'Thank you sir... 🙏🙏🙏🙏🙏', 'Please call ADITYA RANJAN SIR for meetup... this meet-up gone a crazy meet-up....🔥🔥🙏🙏❤️', 'Hello Sandeep sir namaskar me janta hu apne kuch time pahle mlm start ki thi apko uske bare me pata bhi hai me ye chahta hu ki aap ek bar please MLM KING @mahipal sir ya to AWPL MD AND CEO DR. Sanjeev sir ka interview jarur le ya amit Dubey sir ka please sir please sir ye sabhi sir Awpl ke hai me big fan hu in tinno Mahaguru ji ka', 'VERY NICELY EXPLAIN....THANKS SANDEEP JII', 'Sir please invite Mr Deep Trivedi', 'Sir please invite Sadhguru .', 'Please one episode with Manish Raj Sir❤', 'Please bring Gaurav Kaushal Sir IDES to this show', 'Sir we want NV sir in Sandeep Maheshwari show', 'Virat Kohli kab aayenge sir❤', 'Kabi Buddhism Indian monk ko bulavo maheshwari (godi youtuber) you spreading false information an promoting imaginary\nregion(Hinduism) kabhi prof Dilip mandal ko bulao', 'Episode 107 With ARTIST Reyanshh Rahul', 'Only learning .... sandeep sir giving us treasures with zero cost. Thank you sir.. we will help others in our work, because you also helped us.', 'Vote for ""Puneet superstar"" in Episode 107🔥']"
