video_id,channelTitle,title,description,tags,publishedAt,viewCount,likeCount,favoriteCount,commentCount,duration,definition,caption
JblNzdZ_7pw,Sandeep Maheshwari,The Future of Technology Ft. Anshuman Singh | Sandeep Maheshwari | Hindi,"Sandeep Maheshwari is a name among millions who struggled, failed and surged ahead in search of success, happiness and contentment. Just like any middle class guy, he too had a bunch of unclear dreams and a blurred vision of his goals in life. All he had was an undying learning attitude to hold on to. Rowing through ups and downs, it was time that taught him the true meaning of his life.

To know more, log on to www.sandeepmaheshwari.com

Facebook: https://www.facebook.com/sandeepmaheshwaripage
Instagram: https://www.instagram.com/sandeep__maheshwari
Twitter: https://twitter.com/sandeepseminars","['Tech', 'Technology', 'Ai', 'Ml', 'Machine learning', 'Artificial intelligence']",2023-08-05T10:13:19Z,504830,29124,0,1917,PT20M32S,hd,false
YnSOzCKs7Pw,Sandeep Maheshwari,Biggest Parenting Mistake | Sandeep Maheshwari | How To Choose Your Career | Hindi,"Sandeep Maheshwari is a name among millions who struggled, failed and surged ahead in search of success, happiness and contentment. Just like any middle class guy, he too had a bunch of unclear dreams and a blurred vision of his goals in life. All he had was an undying learning attitude to hold on to. Rowing through ups and downs, it was time that taught him the true meaning of his life.

To know more, log on to www.sandeepmaheshwari.com

Facebook: https://www.facebook.com/sandeepmaheshwaripage
Instagram: https://www.instagram.com/sandeep__maheshwari
Twitter: https://twitter.com/sandeepseminars","['Parent', 'Parents', 'Parenting', 'Career', 'Choose', 'Choice', 'How to', 'UPSC', 'Coaching', 'Thinking', 'Think']",2023-08-03T09:05:51Z,762563,48387,0,3122,PT13M40S,hd,false
mKXdArLUDL0,Sandeep Maheshwari,Mahabharat Ft. Ami Ganatra | Sandeep Maheshwari | Hindi,"Sandeep Maheshwari is a name among millions who struggled, failed and surged ahead in search of success, happiness and contentment. Just like any middle class guy, he too had a bunch of unclear dreams and a blurred vision of his goals in life. All he had was an undying learning attitude to hold on to. Rowing through ups and downs, it was time that taught him the true meaning of his life.

To know more, log on to www.sandeepmaheshwari.com

Facebook: https://www.facebook.com/sandeepmaheshwaripage
Instagram: https://www.instagram.com/sandeep__maheshwari
Twitter: https://twitter.com/sandeepseminars","['Mahabharat', 'Bharat', 'Krishna', 'Law of karma', 'Karma', 'Spiritual', 'Spirituality', 'Sandeep Maheshwari', 'Sandeep', 'Maheshwari', 'Ami', 'Ganatra', 'Ramayana']",2023-07-26T10:20:29Z,1455613,76244,0,5348,PT27M24S,hd,false
wCac1kyhdqg,Sandeep Maheshwari,Real History of India Ft. Abhijit Chavda | Sandeep Maheshwari | Hindi,"YouTube Channel: https://www.youtube.com/@AbhijitChavda

Sandeep Maheshwari is a name among millions who struggled, failed and surged ahead in search of success, happiness and contentment. Just like any middle class guy, he too had a bunch of unclear dreams and a blurred vision of his goals in life. All he had was an undying learning attitude to hold on to. Rowing through ups and downs, it was time that taught him the true meaning of his life.

To know more, log on to www.sandeepmaheshwari.com

Facebook: https://www.facebook.com/sandeepmaheshwaripage
Instagram: https://www.instagram.com/sandeep__maheshwari
Twitter: https://twitter.com/sandeepseminars","['Positive', 'Thinking', 'thoughts', 'best', 'intelligence', 'stress', 'manage', 'how to', 'feelings', 'latest', 'fear', 'attitude', 'fearless', 'motivational video', 'students', 'for students', 'practical', 'tips', 'motivation', 'communication', 'video', 'videos', 'speech', 'latest 2023', 'sandeep maheshwari', 'economist', 'economy', 'history', 'bharat', 'ancient', 'spirituality', 'education', 'school', 'schools', 'student']",2023-07-19T14:30:08Z,854295,50722,0,4962,PT28M1S,hd,false
7tlJRhEu8Bc,Sandeep Maheshwari,Artificial Intelligence Ft. Divij Bajaj | Sandeep Maheshwari | OpenAI & ChatGPT | Hindi,"Sandeep Maheshwari is a name among millions who struggled, failed and surged ahead in search of success, happiness and contentment. Just like any middle class guy, he too had a bunch of unclear dreams and a blurred vision of his goals in life. All he had was an undying learning attitude to hold on to. Rowing through ups and downs, it was time that taught him the true meaning of his life.

To know more, log on to www.sandeepmaheshwari.com

Facebook: https://www.facebook.com/sandeepmaheshwaripage
Instagram: https://www.instagram.com/sandeep__maheshwari
Twitter: https://twitter.com/sandeepseminars","['Positive', 'Thinking', 'thoughts', 'best', 'intelligence', 'stress', 'manage', 'how to', 'feelings', 'latest', 'fear', 'attitude', 'fearless', 'motivational video', 'spirituality', 'students', 'for students', 'study', 'studies', 'practical', 'tips', 'motivation', 'communication', 'love', 'confidence', 'time', 'loneliness', 'depression', 'anxiety', 'akele', 'rehna', 'seekho', 'video', 'videos', 'motivational speech', 'speech', 'overcome', 'ai', 'openai', 'open ai', 'chatgpt', 'chat gpt', 'artificial']",2023-07-17T11:06:01Z,1098555,51759,0,3275,PT36M27S,hd,false
T07GjYNkxrk,Sandeep Maheshwari,Think Big Ft. Raj Shamani | Sandeep Maheshwari | Hindi,"YouTube Channel: https://www.youtube.com/@rajshamani

Sandeep Maheshwari is a name among millions who struggled, failed and surged ahead in search of success, happiness and contentment. Just like any middle class guy, he too had a bunch of unclear dreams and a blurred vision of his goals in life. All he had was an undying learning attitude to hold on to. Rowing through ups and downs, it was time that taught him the true meaning of his life.

To know more, log on to www.sandeepmaheshwari.com

Facebook: https://www.facebook.com/sandeepmaheshwaripage
Instagram: https://www.instagram.com/sandeep__maheshwari
Twitter: https://twitter.com/sandeepseminars","['Positive', 'Thinking', 'thoughts', 'best', 'intelligence', 'stress', 'manage', 'how to', 'feelings', 'latest', 'fear', 'attitude', 'fearless', 'motivational video', 'spirituality', 'students', 'for students', 'study', 'studies', 'practical', 'tips', 'motivation', 'communication', 'love', 'confidence', 'time', 'loneliness', 'depression', 'anxiety', 'akele', 'rehna', 'seekho', 'video', 'videos', 'motivational speech', 'speech', 'overcome', 'brain', 'mind', 'latest 2023', 'pratham mittal', 'sandeep maheshwari', 'think', 'big', 'raj', 'shamani', 'raj shamani', 'podcast', 'podcasts']",2023-07-10T12:30:14Z,1176616,60950,0,2655,PT26M1S,hd,false
CgzfSpnWaFk,Sandeep Maheshwari,Future of the Indian Economy Ft. Sanjeev Sanyal | Sandeep Maheshwari | Hindi,"Sandeep Maheshwari is a name among millions who struggled, failed and surged ahead in search of success, happiness and contentment. Just like any middle class guy, he too had a bunch of unclear dreams and a blurred vision of his goals in life. All he had was an undying learning attitude to hold on to. Rowing through ups and downs, it was time that taught him the true meaning of his life.

To know more, log on to www.sandeepmaheshwari.com

Facebook: https://www.facebook.com/sandeepmaheshwaripage
Instagram: https://www.instagram.com/sandeep__maheshwari
Twitter: https://twitter.com/sandeepseminars","['Positive', 'Thinking', 'thoughts', 'best', 'intelligence', 'stress', 'manage', 'how to', 'feelings', 'latest', 'fear', 'attitude', 'fearless', 'motivational video', 'students', 'for students', 'practical', 'tips', 'motivation', 'communication', 'video', 'videos', 'speech', 'latest 2023', 'sandeep maheshwari', 'sanjeev', 'sanyal', 'pmo', 'economist', 'economy', 'stock market', 'future']",2023-07-06T05:23:11Z,715044,36784,0,3678,PT27M36S,hd,false
HXaPSe7nspc,Sandeep Maheshwari,Practical Business School Ft. Pratham Mittal | Sandeep Maheshwari | Hindi,"YouTube Channel: https://www.youtube.com/@MastersUnion

Sandeep Maheshwari is a name among millions who struggled, failed and surged ahead in search of success, happiness and contentment. Just like any middle class guy, he too had a bunch of unclear dreams and a blurred vision of his goals in life. All he had was an undying learning attitude to hold on to. Rowing through ups and downs, it was time that taught him the true meaning of his life.

To know more, log on to www.sandeepmaheshwari.com

Facebook: https://www.facebook.com/sandeepmaheshwaripage
Instagram: https://www.instagram.com/sandeep__maheshwari
Twitter: https://twitter.com/sandeepseminars","['Positive', 'Thinking', 'thoughts', 'best', 'intelligence', 'stress', 'manage', 'how to', 'feelings', 'latest', 'fear', 'attitude', 'fearless', 'motivational video', 'spirituality', 'students', 'for students', 'study', 'studies', 'practical', 'tips', 'motivation', 'communication', 'love', 'confidence', 'time', 'loneliness', 'depression', 'anxiety', 'akele', 'rehna', 'seekho', 'video', 'videos', 'motivational speech', 'speech', 'overcome', 'brain', 'mind', 'latest 2023', 'master', 'masters', 'union', 'b school', 'pratham mittal', 'sandeep maheshwari']",2023-07-03T05:47:52Z,936995,46585,0,2272,PT26M33S,hd,false
aaWr-N34Z2Q,Sandeep Maheshwari,Train Your Brain Ft. Dr. Sid Warrier | Sandeep Maheshwari | Hindi,"YouTube Channel: https://www.youtube.com/@Sidwarrier

Sandeep Maheshwari is a name among millions who struggled, failed and surged ahead in search of success, happiness and contentment. Just like any middle class guy, he too had a bunch of unclear dreams and a blurred vision of his goals in life. All he had was an undying learning attitude to hold on to. Rowing through ups and downs, it was time that taught him the true meaning of his life.

To know more, log on to www.sandeepmaheshwari.com

Facebook: https://www.facebook.com/sandeepmaheshwaripage
Instagram: https://www.instagram.com/sandeep__maheshwari
Twitter: https://twitter.com/sandeepseminars","['Positive', 'Thinking', 'thoughts', 'best', 'intelligence', 'stress', 'manage', 'how to', 'feelings', 'latest', 'fear', 'attitude', 'fearless', 'motivational video', 'spirituality', 'students', 'for students', 'study', 'studies', 'practical', 'tips', 'motivation', 'communication', 'love', 'confidence', 'time', 'loneliness', 'depression', 'anxiety', 'akele', 'rehna', 'seekho', 'video', 'videos', 'motivational speech', 'speech', 'overcome', 'brain', 'mind']",2023-06-29T08:27:05Z,1951298,96478,0,3896,PT28M34S,hd,false
dDwOOjCtOMk,Sandeep Maheshwari,Meet Akhil Gupta & Amit Agarwal With Sandeep Maheshwari | Episode 106 | Business & Startup Tips,"Sandeep Maheshwari is a name among millions who struggled, failed and surged ahead in search of success, happiness and contentment. Just like any middle class guy, he too had a bunch of unclear dreams and a blurred vision of his goals in life. All he had was an undying learning attitude to hold on to. Rowing through ups and downs, it was time that taught him the true meaning of his life.

To know more, log on to www.sandeepmaheshwari.com

Facebook: https://www.facebook.com/sandeepmaheshwaripage
Instagram: https://www.instagram.com/sandeep__maheshwari
Twitter: https://twitter.com/sandeepseminars","['Nobroker', 'Founder', 'Founders', 'Funding', 'Startup', 'Sandeep Maheshwari', 'Sandeep', 'Maheshwari', 'Business']",2023-06-26T13:39:49Z,424320,17059,0,1268,PT23M24S,hd,false
